run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch,viper_time_in_UNKNOWN,cobra_time_in_UNKNOWN,viper_time_in_NEUTRAL,cobra_time_in_NEUTRAL,viper_time_in_DEFENSIVE,cobra_time_in_DEFENSIVE,viper_time_in_HEADON,cobra_time_in_HEADON,viper_time_in_OFFENSIVE,cobra_time_in_OFFENSIVE
852,165.5,60000.0,0.0,180.0,BehaviorType.ATTACK,32930.40983708622,68749.83099835126,1,60000.0,0.0,180.0,BehaviorType.ATTACK,31196.009561823957,60804.11120561917,1,BOTH_SURVIVED,True,32850.0,45.3,True,31110.03,48.2,0.2,0.2,93.79999999999895,93.79999999999895,0.4,0.0,71.20000000000023,71.20000000000023,0.0,0.4
853,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,42564.919679238024,1744.2530792965683,1,60000.0,0.0,180.0,BehaviorType.ATTACK,68985.92199625427,43986.91135075637,1,BOTH_SURVIVED,True,42512.137,32.3,True,59790.0,0.4,0.2,0.2,0.0,0.0,0.0,75.39999999999999,45.10000000000037,45.10000000000037,75.39999999999999,0.0
854,139.8,60000.0,0.0,180.0,BehaviorType.ATTACK,36803.265331917966,64032.07848815638,1,60000.0,0.0,180.0,BehaviorType.ATTACK,48352.635137459714,13833.934576079064,1,BOTH_SURVIVED,False,-1.0,-1.0,True,48270.0,19.6,0.2,0.2,0.0,0.0,95.49999999999885,0.0,44.20000000000036,44.20000000000036,0.0,95.49999999999885
855,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,67614.47980091146,33453.91865297995,1,60000.0,0.0,180.0,BehaviorType.ATTACK,40151.42618371459,58239.74765275754,1,BOTH_SURVIVED,True,59790.0,0.4,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,92.69999999999901,27.800000000000125,27.800000000000125,92.69999999999901,0.0
856,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,59158.07888740897,56915.764407414004,1,60000.0,0.0,180.0,BehaviorType.ATTACK,64830.18405989992,18696.575468697156,1,BOTH_SURVIVED,True,59070.0,1.6,True,59790.0,0.4,0.2,0.2,0.0,0.0,93.89999999999894,0.0,26.600000000000108,26.600000000000108,0.0,93.89999999999894
857,69.0,60000.0,0.0,180.0,BehaviorType.ATTACK,57376.649963861775,776.1111267238318,1,60000.0,0.0,180.0,BehaviorType.ATTACK,46669.371948622,34570.81635185601,0,VIPER_WIN,True,57270.0,4.6,True,46576.347,22.8,0.2,0.2,0.0,0.0,0.0,5.4999999999999964,63.30000000000063,63.30000000000063,5.599999999999996,0.0
858,68.4,60000.0,0.0,180.0,BehaviorType.ATTACK,59485.44942989885,10871.267266959949,0,60000.0,0.0,180.0,BehaviorType.ATTACK,60059.98843255544,2718.620563901775,1,COBRA_WIN,True,59370.0,1.1,True,59790.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,68.2000000000004,68.3000000000004,0.0,0.0
859,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,63739.81176406038,18047.834682692464,1,60000.0,0.0,180.0,BehaviorType.ATTACK,45766.96403232494,46374.815655483464,1,BOTH_SURVIVED,True,59790.0,0.4,True,45715.059,25.5,0.2,0.2,0.0,0.0,0.0,72.80000000000014,47.70000000000041,47.70000000000041,72.80000000000014,0.0
860,66.3,60000.0,0.0,180.0,BehaviorType.ATTACK,68917.82467297443,15271.866771274304,1,60000.0,0.0,180.0,BehaviorType.ATTACK,52127.87655522293,33229.19479325095,0,VIPER_WIN,True,59790.0,0.4,True,52030.94,13.4,0.2,0.2,0.0,0.0,0.0,0.0,66.20000000000051,66.10000000000052,0.0,0.0
861,122.3,60000.0,0.0,180.0,BehaviorType.ATTACK,40150.68955257601,69077.03714259816,1,60000.0,0.0,180.0,BehaviorType.ATTACK,58849.821043669835,43088.43192256451,1,BOTH_SURVIVED,False,-1.0,-1.0,True,58770.0,2.1,0.2,0.2,0.0,0.0,95.19999999999887,0.0,27.000000000000114,27.000000000000114,0.0,95.19999999999887
