run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch
87,300.0,50000.0,-0.006,-179.99400000000003,BehaviorType.ATTACK,49033.957904441806,36209.24789725893,1,50000.0,-0.006,-179.99400000000003,BehaviorType.ATTACK,49979.07102373908,48178.49998405118,1,BOTH_SURVIVED,True,48950.001,1.8,True,49790.0,0.4
88,300.0,50000.0,0.004,179.99599999999998,BehaviorType.ATTACK,49190.782701993805,25643.88447239816,1,50000.0,0.004,179.99599999999998,BehaviorType.ATTACK,49147.595073555414,5383.501412416125,0,VIPER_WIN,True,49130.0,1.5,True,49070.0,1.6
89,300.0,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49683.633575754684,30778.498470341954,1,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49267.62370899695,29414.349653747868,1,BOTH_SURVIVED,True,49610.0,0.7,True,49190.0,1.4
90,300.0,50000.0,-0.002,-179.998,BehaviorType.ATTACK,49701.85610413274,14202.5190309585,1,50000.0,-0.002,-179.998,BehaviorType.ATTACK,49307.975196776926,18776.655205366344,0,VIPER_WIN,True,49610.0,0.7,True,49190.0,1.4
91,300.0,50000.0,0.006,179.99400000000003,BehaviorType.ATTACK,49794.635087583774,17261.558440279874,1,50000.0,0.006,179.99400000000003,BehaviorType.ATTACK,49557.91183391129,8865.956333024305,0,VIPER_WIN,True,49730.0,0.5,True,49490.0,0.9
92,300.0,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49835.72885144747,40811.120496451345,1,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49841.421107350354,42893.35910833397,1,BOTH_SURVIVED,True,49730.0,0.5,True,49730.0,0.5
93,300.0,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49785.881888783464,5786.986685250339,1,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49867.98921916494,28655.533142807722,0,VIPER_WIN,True,49670.0,0.6,True,49790.0,0.4
94,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49739.18340971764,13782.264789588955,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49593.14648252619,22257.27778523745,0,VIPER_WIN,True,49670.0,0.6,True,49490.0,0.9
95,300.0,50000.0,-0.008,-179.99200000000002,BehaviorType.ATTACK,49863.49143319786,17878.242108668197,1,50000.0,-0.008,-179.99200000000002,BehaviorType.ATTACK,49382.06420035488,47781.01268551665,1,BOTH_SURVIVED,True,49790.0,0.4,True,49310.001,1.2
96,300.0,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49037.59533051773,42674.30668304356,1,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49755.17187828388,17062.894897973467,1,BOTH_SURVIVED,True,48950.0,1.8,True,49670.0,0.6
97,300.0,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49572.36400808598,9357.042781130653,1,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49154.98518696282,37624.38565425451,1,BOTH_SURVIVED,True,49490.0,0.9,True,49070.0,1.6
98,300.0,50000.0,-0.0,-180.0,BehaviorType.ATTACK,49033.68337311855,16286.694226364212,0,50000.0,-0.0,-180.0,BehaviorType.ATTACK,49944.85153736064,16751.806049120943,1,COBRA_WIN,True,48950.0,1.8,True,49790.0,0.4
99,300.0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49289.24960239683,9354.121837406354,1,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49204.22726089002,12334.666301504094,0,VIPER_WIN,True,49190.0,1.4,True,49130.0,1.5
100,300.0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49137.760141354964,31095.109550916823,0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49055.464490017985,14278.179195843099,1,COBRA_WIN,True,49070.0,1.6,True,48950.0,1.8
101,300.0,50000.0,0.006999999999999999,179.993,BehaviorType.ATTACK,49254.21120237832,47058.4882804967,1,50000.0,0.006999999999999999,179.993,BehaviorType.ATTACK,49828.42816653543,11856.367543980556,1,BOTH_SURVIVED,True,49190.0,1.4,True,49730.0,0.5
102,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49772.52098828878,5286.975263847399,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49502.49117428428,15603.394968373896,0,VIPER_WIN,True,49670.0,0.6,True,49430.0,1.0
103,300.0,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49001.1788910016,14809.068217412152,1,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49302.583003932705,38886.6875610898,1,BOTH_SURVIVED,True,48890.0,1.9,True,49190.0,1.4
104,300.0,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49795.305176124166,14788.53255816534,1,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49229.51281279726,45843.33689162349,1,BOTH_SURVIVED,True,49730.0,0.5,True,49130.0,1.5
105,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49431.31342391154,3190.3550951067173,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49799.9402129219,47883.30767758842,1,BOTH_SURVIVED,True,49370.0,1.1,True,49730.0,0.5
106,300.0,50000.0,-0.0,-180.0,BehaviorType.ATTACK,49598.571889828185,21279.97882276435,0,50000.0,-0.0,-180.0,BehaviorType.ATTACK,49827.51895275128,11445.257206029557,1,COBRA_WIN,True,49490.0,0.9,True,49730.0,0.5
107,300.0,50000.0,-0.002,-179.998,BehaviorType.ATTACK,49535.363238452665,18355.38398321733,1,50000.0,-0.002,-179.998,BehaviorType.ATTACK,49311.91144518318,24832.450228634538,0,VIPER_WIN,True,49430.0,1.0,True,49250.0,1.3
108,300.0,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49859.136966323254,9726.223630619868,1,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49754.49801384125,8657.849010774222,0,VIPER_WIN,True,49790.0,0.4,True,49670.0,0.6
109,300.0,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49711.80100160259,26721.15206846577,1,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49482.456054985785,49603.8542108811,1,BOTH_SURVIVED,True,49610.0,0.7,True,49370.0,1.1
