,test_id,kcid,lmc_prior_code,lengthscale_prior_code,time_to_converge,iterations_to_converge
0,3.0,7.0,2.0,1.0,21.768912,726.0
0,0.0,7.0,2.0,1.0,76.060854,987.0
0,3.0,7.0,2.0,1.0,25.107912,842.0
0,0.0,7.0,2.0,1.0,75.643474,974.0
0,3.0,7.0,2.0,1.0,23.616217,787.0
0,0.0,7.0,2.0,1.0,76.223862,987.0
0,3.0,7.0,2.0,1.0,23.366304,787.0
0,0.0,7.0,2.0,1.0,76.382458,987.0
0,3.0,7.0,2.0,1.0,28.664648,964.0
0,0.0,7.0,2.0,1.0,77.020627,987.0
0,3.0,7.0,2.0,1.0,26.494149,888.0
0,0.0,7.0,2.0,1.0,77.097621,996.0
0,3.0,7.0,2.0,1.0,21.623062,727.0
0,0.0,8.0,2.0,1.0,86.125719,987.0
0,3.0,8.0,2.0,1.0,29.664159,917.0
0,0.0,8.0,2.0,1.0,86.426515,987.0
0,3.0,8.0,2.0,1.0,29.5576,917.0
0,0.0,8.0,2.0,1.0,86.023974,987.0
0,3.0,8.0,2.0,1.0,27.20262,835.0
0,0.0,8.0,2.0,1.0,85.971847,987.0
0,3.0,8.0,2.0,1.0,30.039558,931.0
0,0.0,8.0,2.0,1.0,85.315196,974.0
0,3.0,8.0,2.0,1.0,20.113427,619.0
0,0.0,8.0,2.0,1.0,86.784037,987.0
0,3.0,8.0,2.0,1.0,27.195919,835.0
0,0.0,8.0,2.0,1.0,86.282771,987.0
0,3.0,8.0,2.0,1.0,25.67301,795.0
0,0.0,8.0,2.0,1.0,79.888054,917.0
0,3.0,8.0,2.0,1.0,28.474585,876.0
0,0.0,8.0,2.0,1.0,85.803362,987.0
0,3.0,8.0,2.0,1.0,24.936402,772.0
0,0.0,8.0,2.0,1.0,86.545251,987.0
0,3.0,8.0,2.0,1.0,22.775468,711.0
0,0.0,9.0,2.0,1.0,105.823465,987.0
0,3.0,9.0,2.0,1.0,31.802153,846.0
0,0.0,9.0,2.0,1.0,81.794187,761.0
0,3.0,9.0,2.0,1.0,31.949352,846.0
0,0.0,9.0,2.0,1.0,125.872365,1177.0
0,3.0,9.0,2.0,1.0,31.51728,846.0
0,0.0,9.0,2.0,1.0,105.886572,987.0
0,3.0,9.0,2.0,1.0,22.551365,601.0
0,0.0,9.0,2.0,1.0,104.494938,974.0
0,3.0,9.0,2.0,1.0,36.669696,964.0
0,0.0,9.0,2.0,1.0,106.327671,987.0
0,3.0,9.0,2.0,1.0,36.074246,964.0
0,0.0,9.0,2.0,1.0,105.594139,984.0
0,3.0,9.0,2.0,1.0,23.126817,615.0
0,0.0,9.0,2.0,1.0,104.237401,974.0
0,3.0,9.0,2.0,1.0,31.048991,815.0
0,0.0,9.0,2.0,1.0,108.266812,984.0
0,3.0,9.0,2.0,1.0,9.939709,257.0
0,0.0,9.0,2.0,1.0,106.873512,987.0
0,3.0,9.0,2.0,1.0,29.608251,787.0
